,loanSequenceNumber,monthlyReportingPeriod,currentActualUPB,currentLoanDelinquencyStatus,loanAge,remainingMonthToLegalMaturity,repurchaseFlag,modificationFlag,zeroBalanceCode,zeroBalanceEffectiveDate,currentInterestRate,currentDeferredUPB,dueDateOfLastPaidInstallment,miRecoveries,netSalesProceeds,nonMiRecoveries,expenses,legalCosts,maintenanceAndPreservationCosts,taxesAndInsurance,miscellaneousExpenses,actualLossCalculation,modificationCost,stepModificationFlag,deferredPaymentModification,estimatedLoandToValue,yr,qr,defaulted,creditScore,firstPaymentDate,firstTimeHomeBuyerFlag,maturityDate,metropolitanDivisionOrMSA,mortgageInsurancePercentage,numberOfUnits,occupancyStatus,originalCombinedLoanToValue,originalDebtToIncomeRatio,originalUPB,originalLoanToValue,originalInterestRate,channel,prepaymentPenaltyMortgageFlag,productType,propertyState,propertyType,postalCode,loanSequenceNumber,loanPurpose,originalLoanTerm,numberOfBorrowers,sellerName,servicerName,superConformingFlag,preHarpLoanSequenceNumber,yr,qr
13,F108Q3000002,200904,282949.08,0,8,352,NotA,NotA,0,NotA,6.625,0,NotA,0.0,NotA,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,NotA,NotA,0.0,2008,3,0,696,200809,Y,203808,14484.0,0,1,P,72.0,30,285000,72,6.625,R,NotA,FRM,MA,SF,2000,F108Q3000002,P,360,1,Other sellers,Other servicers,NotA,NotA,2008,3
14,F108Q3000002,200905,282686.3,0,9,351,NotA,NotA,0,NotA,6.625,0,NotA,0.0,NotA,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,NotA,NotA,0.0,2008,3,0,696,200809,Y,203808,14484.0,0,1,P,72.0,30,285000,72,6.625,R,NotA,FRM,MA,SF,2000,F108Q3000002,P,360,1,Other sellers,Other servicers,NotA,NotA,2008,3
15,F108Q3000002,200906,282421.62,0,10,350,NotA,NotA,0,NotA,6.625,0,NotA,0.0,NotA,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,NotA,NotA,0.0,2008,3,0,696,200809,Y,203808,14484.0,0,1,P,72.0,30,285000,72,6.625,R,NotA,FRM,MA,SF,2000,F108Q3000002,P,360,1,Other sellers,Other servicers,NotA,NotA,2008,3
16,F108Q3000002,200907,282421.62,0,11,349,NotA,NotA,0,NotA,6.625,0,NotA,0.0,NotA,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,NotA,NotA,0.0,2008,3,0,696,200809,Y,203808,14484.0,0,1,P,72.0,30,285000,72,6.625,R,NotA,FRM,MA,SF,2000,F108Q3000002,P,360,1,Other sellers,Other servicers,NotA,NotA,2008,3
17,F108Q3000002,200908,281833.27,0,12,348,NotA,NotA,0,NotA,6.625,0,NotA,0.0,NotA,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,NotA,NotA,0.0,2008,3,0,696,200809,Y,203808,14484.0,0,1,P,72.0,30,285000,72,6.625,R,NotA,FRM,MA,SF,2000,F108Q3000002,P,360,1,Other sellers,Other servicers,NotA,NotA,2008,3
18,F108Q3000002,200909,281564.33,0,13,347,NotA,NotA,0,NotA,6.625,0,NotA,0.0,NotA,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,NotA,NotA,0.0,2008,3,0,696,200809,Y,203808,14484.0,0,1,P,72.0,30,285000,72,6.625,R,NotA,FRM,MA,SF,2000,F108Q3000002,P,360,1,Other sellers,Other servicers,NotA,NotA,2008,3
19,F108Q3000002,200910,281293.91,0,14,346,NotA,NotA,0,NotA,6.625,0,NotA,0.0,NotA,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,NotA,NotA,0.0,2008,3,0,696,200809,Y,203808,14484.0,0,1,P,72.0,30,285000,72,6.625,R,NotA,FRM,MA,SF,2000,F108Q3000002,P,360,1,Other sellers,Other servicers,NotA,NotA,2008,3
20,F108Q3000002,200911,281022.0,0,15,345,NotA,NotA,0,NotA,6.625,0,NotA,0.0,NotA,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,NotA,NotA,0.0,2008,3,0,696,200809,Y,203808,14484.0,0,1,P,72.0,30,285000,72,6.625,R,NotA,FRM,MA,SF,2000,F108Q3000002,P,360,1,Other sellers,Other servicers,NotA,NotA,2008,3
21,F108Q3000002,200912,280748.59,0,16,344,NotA,NotA,0,NotA,6.625,0,NotA,0.0,NotA,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,NotA,NotA,0.0,2008,3,0,696,200809,Y,203808,14484.0,0,1,P,72.0,30,285000,72,6.625,R,NotA,FRM,MA,SF,2000,F108Q3000002,P,360,1,Other sellers,Other servicers,NotA,NotA,2008,3
22,F108Q3000002,201001,280473.67,0,17,343,NotA,NotA,0,NotA,6.625,0,NotA,0.0,NotA,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,NotA,NotA,0.0,2008,3,0,696,200809,Y,203808,14484.0,0,1,P,72.0,30,285000,72,6.625,R,NotA,FRM,MA,SF,2000,F108Q3000002,P,360,1,Other sellers,Other servicers,NotA,NotA,2008,3
23,F108Q3000002,201002,280151.74,0,18,342,NotA,NotA,0,NotA,6.625,0,NotA,0.0,NotA,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,NotA,NotA,0.0,2008,3,0,696,200809,Y,203808,14484.0,0,1,P,72.0,30,285000,72,6.625,R,NotA,FRM,MA,SF,2000,F108Q3000002,P,360,1,Other sellers,Other servicers,NotA,NotA,2008,3
24,F108Q3000002,201003,279827.03,0,19,341,NotA,NotA,0,NotA,6.625,0,NotA,0.0,NotA,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,NotA,NotA,0.0,2008,3,0,696,200809,Y,203808,14484.0,0,1,P,72.0,30,285000,72,6.625,R,NotA,FRM,MA,SF,2000,F108Q3000002,P,360,1,Other sellers,Other servicers,NotA,NotA,2008,3
25,F108Q3000002,201004,279501.53,0,20,340,NotA,NotA,0,NotA,6.625,0,NotA,0.0,NotA,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,NotA,NotA,0.0,2008,3,0,696,200809,Y,203808,14484.0,0,1,P,72.0,30,285000,72,6.625,R,NotA,FRM,MA,SF,2000,F108Q3000002,P,360,1,Other sellers,Other servicers,NotA,NotA,2008,3
26,F108Q3000002,201005,279108.23,0,21,339,NotA,NotA,0,NotA,6.625,0,NotA,0.0,NotA,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,NotA,NotA,0.0,2008,3,0,696,200809,Y,203808,14484.0,0,1,P,72.0,30,285000,72,6.625,R,NotA,FRM,MA,SF,2000,F108Q3000002,P,360,1,Other sellers,Other servicers,NotA,NotA,2008,3
27,F108Q3000002,201006,278712.76,0,22,338,NotA,NotA,0,NotA,6.625,0,NotA,0.0,NotA,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,NotA,NotA,0.0,2008,3,0,696,200809,Y,203808,14484.0,0,1,P,72.0,30,285000,72,6.625,R,NotA,FRM,MA,SF,2000,F108Q3000002,P,360,1,Other sellers,Other servicers,NotA,NotA,2008,3
28,F108Q3000002,201007,278309.73,0,23,337,NotA,NotA,0,NotA,6.625,0,NotA,0.0,NotA,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,NotA,NotA,0.0,2008,3,0,696,200809,Y,203808,14484.0,0,1,P,72.0,30,285000,72,6.625,R,NotA,FRM,MA,SF,2000,F108Q3000002,P,360,1,Other sellers,Other servicers,NotA,NotA,2008,3
29,F108Q3000002,201008,278020.47,0,24,336,NotA,NotA,0,NotA,6.625,0,NotA,0.0,NotA,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,NotA,NotA,0.0,2008,3,0,696,200809,Y,203808,14484.0,0,1,P,72.0,30,285000,72,6.625,R,NotA,FRM,MA,SF,2000,F108Q3000002,P,360,1,Other sellers,Other servicers,NotA,NotA,2008,3
